Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,135,97,Jessica Finley (JR),Cleveland St. (CLST),3:31,3:42,3:55,3:51,3:59,3:59,23:00.0,6:10
Great Lakes Regional,136,84,Katrina Patterson (SO),Cincinnati (CINC),3:32,3:47,3:56,3:52,3:56,3:55,23:01.0,6:10
Great Lakes Regional,137,354,Hailey Bowes (SO),Ohio (OHIO),3:28,3:44,3:57,3:53,4:01,3:58,23:02.8,6:11
Great Lakes Regional,138,27,Jessi Lindstrom (SO),Bowling Green (BGSU),3:29,3:49,4:00,3:58,3:54,3:50,23:03.3,6:11
Great Lakes Regional,139,461,Brittney Hall (JR),Western Michigan (WMU),3:21,3:41,3:56,3:55,4:04,4:05,23:04.5,6:11
Great Lakes Regional,140,145,Kaitlyn St. Bernard (FR),Eastern Michigan (EMU),3:28,3:41,3:58,3:56,3:58,4:01,23:05.5,6:11
Great Lakes Regional,141,527,Courtney Klatt (FR),Xavier (Ohio)(XAVI),3:28,3:47,3:57,3:55,4:03,3:54,23:06.4,6:12
Great Lakes Regional,142,565,Emily Sass,Wis.-Milwaukee (MILW),3:28,3:43,3:56,3:53,4:01,4:03,23:07.0,6:12
Great Lakes Regional,143,199,Jocelyn Quiles (FR),Indiana State (INST),3:28,3:48,4:02,3:58,4:02,3:46,23:07.4,6:12
Great Lakes Regional,144,254,McKenna Fry (FR),Miami (Ohio)(MIAO),3:23,3:40,3:53,3:53,4:07,4:10,23:08.3,6:12
Great Lakes Regional,145,241,Kendall Pfrimmer (FR),Marquette (MARQ),3:29,3:46,3:58,3:54,4:00,4:00,23:09.8,6:13
Great Lakes Regional,146,463,Chloe McEachern (FR),Western Michigan (WMU),3:22,3:46,4:05,4:01,4:07,3:47,23:10.7,6:13
Great Lakes Regional,147,106,Carlee Constable (SO),Dayton (DAYT),3:30,3:45,3:58,3:54,4:01,4:01,23:10.9,6:13
Great Lakes Regional,148,3,Elizabeth Gurko (FR),Akron (AKR),3:28,3:48,4:02,3:59,4:02,3:50,23:12.9,6:13
Great Lakes Regional,149,343,Rachel Kempf (FR),Oakland (OAKL),3:30,3:44,3:57,3:56,4:02,4:00,23:13.7,6:14
Great Lakes Regional,150,77,Sammy Hentz (JR),Cincinnati (CINC),3:33,3:49,3:58,3:55,3:55,4:01,23:14.7,6:14
Great Lakes Regional,151,24,Megan Aalberts (FR),Bowling Green (BGSU),3:29,3:43,4:00,3:59,3:57,4:04,23:15.3,6:14
Great Lakes Regional,152,196,Megan Doty (SR),Indiana State (INST),3:29,3:50,4:01,3:56,4:01,3:57,23:16.3,6:14
Great Lakes Regional,153,5,Elizabeth Mosier (SR),Akron (AKR),3:32,3:53,3:56,3:59,3:59,3:56,23:17.2,6:15
Great Lakes Regional,154,107,Katie Miller (FR),Dayton (DAYT),3:30,3:48,4:01,3:59,4:01,3:55,23:17.3,6:15
Great Lakes Regional,155,529,Jane Onders (JR),Xavier (Ohio)(XAVI),3:28,3:49,4:03,4:00,4:01,3:53,23:17.6,6:15
Great Lakes Regional,156,233,Emily Foley (SO),Marquette (MARQ),3:31,3:51,4:04,3:57,4:02,3:50,23:17.7,6:15
